EmployeeID,Department,JobRole,HireDate,YearsAtCompany,MonthlyIncome,OverTime,EngagementScore,PTOUsed,RemoteWorkPct,PerformanceScore,EducationLevel,Attrition,ExitReason
258,Engineering,Data Scientist,2016-12-08,9.22,9920.28,No,54.7,13,0.0,Low,Masters,No,
259,Operations,Operations Manager,2021-03-02,4.99,7598.83,No,79.7,12,97.2,Average,Bachelors,No,
260,Operations,Operations Manager,2023-11-25,2.25,5161.35,No,48.0,16,81.4,High,Bachelors,Yes,Burnout
261,Sales,Account Executive,2023-11-12,2.29,9525.89,No,63.1,20,48.8,Low,Masters,No,
262,HR,Recruiter,2024-01-05,2.14,6741.06,Yes,83.3,18,2.7,High,High School,Yes,Manager Conflict
263,Operations,Business Analyst,2020-11-23,5.26,9214.81,No,90.7,11,61.9,Above Average,High School,No,
264,HR,HR Manager,2020-01-18,6.11,7741.05,No,73.9,12,29.9,High,Masters,No,
265,Marketing,Marketing Manager,2023-08-11,2.54,6961.67,Yes,87.6,17,38.9,Above Average,High School,No,
266,Marketing,Marketing Manager,2018-05-30,7.75,8157.55,Yes,27.3,20,0.0,Below Average,Masters,No,
267,Sales,Sales Manager,2020-10-26,5.33,6456.34,No,53.2,8,84.8,Low,Masters,No,
268,Marketing,Content Strategist,2016-05-27,9.75,6298.45,No,75.2,14,64.3,High,High School,No,
269,Sales,Account Executive,2016-12-02,9.24,7115.23,No,50.8,19,35.2,High,High School,No,
270,Engineering,Software Engineer,2015-07-06,10.65,6665.13,No,63.6,22,75.5,Below Average,PhD,No,
271,Engineering,Data Scientist,2024-12-20,1.18,8477.02,No,64.8,13,100.0,Average,PhD,No,
272,Operations,Business Analyst,2018-05-03,7.82,7572.9,No,76.5,20,57.2,Low,High School,No,
273,Finance,Accountant,2020-03-17,5.95,6611.44,Yes,67.1,14,48.9,Average,Bachelors,No,
274,Operations,Business Analyst,2023-03-27,2.92,8091.44,No,70.8,18,47.6,Above Average,Bachelors,No,
275,Marketing,Marketing Manager,2018-07-31,7.58,7117.95,Yes,40.0,19,60.4,Above Average,High School,Yes,Burnout
276,Sales,Account Executive,2015-07-27,10.59,8497.02,No,26.6,25,45.8,Above Average,PhD,Yes,Burnout
277,HR,Recruiter,2017-02-16,9.03,8662.27,Yes,54.4,18,18.4,Above Average,PhD,No,
278,HR,Recruiter,2015-04-05,10.9,6064.35,Yes,98.7,14,56.5,Above Average,PhD,No,
279,Sales,Sales Manager,2015-07-19,10.61,8305.1,Yes,77.4,15,60.9,Average,PhD,No,
280,Operations,Business Analyst,2018-03-16,7.95,10605.12,Yes,69.1,16,81.5,Low,PhD,Yes,Relocation
281,Operations,Business Analyst,2023-07-26,2.59,8658.29,No,87.8,18,15.7,Average,High School,No,
282,Marketing,Marketing Manager,2019-01-24,7.09,9450.15,No,52.8,16,27.4,Low,PhD,No,
283,Marketing,Content Strategist,2024-04-03,1.9,6903.79,Yes,74.9,16,62.7,Below Average,High School,No,
284,HR,Recruiter,2023-06-20,2.68,9420.57,Yes,76.8,13,78.9,Below Average,PhD,No,
285,Engineering,Software Engineer,2016-07-15,9.62,10784.21,No,51.6,17,71.0,Above Average,PhD,No,
286,Marketing,Marketing Manager,2018-09-05,7.48,6553.65,No,90.6,14,53.8,Below Average,PhD,No,
287,Operations,Business Analyst,2021-08-28,4.5,6740.39,No,70.2,9,6.8,High,PhD,No,
288,HR,Recruiter,2024-02-24,2.0,9391.76,Yes,57.3,10,0.0,Average,Masters,No,
289,Finance,Accountant,2023-12-08,2.22,6041.56,Yes,50.2,23,80.3,High,PhD,No,
290,Operations,Operations Manager,2023-02-02,3.06,5967.77,Yes,100.0,19,40.3,High,PhD,Yes,
291,Operations,Business Analyst,2016-08-28,9.5,3250.89,Yes,100.0,8,0.6,Low,High School,Yes,Manager Conflict
292,HR,Recruiter,2016-09-12,9.46,8533.86,No,100.0,21,66.9,Below Average,PhD,No,
293,Marketing,Content Strategist,2024-10-15,1.36,7892.13,Yes,82.8,18,58.4,Below Average,Bachelors,No,
294,Operations,Business Analyst,2020-11-22,5.26,7156.3,No,69.1,11,41.6,Average,Bachelors,No,
295,Marketing,Content Strategist,2021-02-15,5.03,4460.56,No,68.5,10,16.9,Average,PhD,No,
296,Sales,Sales Manager,2021-04-04,4.9,7269.84,No,90.9,19,2.9,Below Average,Masters,No,
297,Operations,Operations Manager,2022-09-28,3.41,5515.56,No,84.1,10,43.3,Average,PhD,No,
298,Operations,Business Analyst,2018-03-24,7.93,7825.08,Yes,55.5,15,10.0,High,PhD,No,
299,Finance,Accountant,2023-09-02,2.48,6097.95,Yes,74.8,7,63.2,Average,High School,No,
300,Operations,Operations Manager,2018-11-19,7.27,6970.54,No,78.3,16,90.9,Average,PhD,No,
